;vg_image_id;topname;altname;domain;H;total_responses;typ1;typ2;typ_ctx1;typ_ctx2
0;4;rug;carpet;home;1.1331842537834438;34;0.684272050857544;0.8057343363761902;0.8062940835952759;0.8027593493461609
1;8;desk;table;home;0.625262405223423;32;0.7810627222061157;0.6530497074127197;0.8469545245170593;0.7642730474472046
2;10;desk;table;home;0.7990485210442682;33;0.8352096676826477;0.6942107081413269;0.8745805621147156;0.7811817526817322
3;12;desk;desktop;home;0.7075696535050607;28;0.7580946683883667;0.7414865493774414;0.8259703516960144;0.8651727437973022
4;13;desk;table;home;0.5032583347756456;27;0.8047069907188416;0.6515054702758789;0.8194252252578735;0.7105069160461426
5;14;desk;table;home;0.5547781633412736;31;0.8515578508377075;0.777152419090271;0.8531296849250793;0.7818549871444702
6;18;table;desk;home;0.997772472089982;36;0.6659016609191895;0.7930744886398315;0.7708142995834351;0.8590340614318848
7;19;desk;table;home;0.8112781244591328;28;0.7817704677581787;0.6301957964897156;0.7886998057365417;0.6534281373023987
8;23;van;car;vehicles;1.5847728337743971;35;0.7359681725502014;0.7388911247253418;0.824405312538147;0.8153421878814697
9;27;floor;carpet;home;0.9886994082884974;32;0.7496913075447083;0.7068861126899719;0.7734966278076172;0.7550082802772522
10;28;couch;sofa;home;0.8812908992306926;30;0.7848474383354187;0.7799367904663086;0.7949267625808716;0.7899238467216492
11;30;cabinet;entertainment center;home;1.9459874988768264;23;0.6711173057556152;0.7336741089820862;0.7819902896881104;0.8237811923027039
12;32;cabinet;cabinets;home;1.4530732564535926;29;0.6193711161613464;0.6783443689346313;0.7553427219390869;0.7679131627082825
13;37;couch;sofa;home;0.8112781244591328;28;0.8264365792274475;0.8103356957435608;0.7629142999649048;0.7546091079711914
14;40;chair;sofa;home;1.072080954883921;32;0.48644572496414185;0.6570662260055542;0.7752525806427002;0.7736039757728577
15;41;counter;countertop;home;1.1307380174672108;29;0.6677291989326477;0.6675034165382385;0.8664177060127258;0.8663728833198547
16;43;counter;countertop;home;1.0971245697587872;25;0.7523211240768433;0.7387655973434448;0.855074942111969;0.8577871322631836
17;65;car;vehicle;vehicles;0.5007115883735378;35;0.7031873464584351;0.6809459328651428;0.7545419931411743;0.7540736794471741
18;66;carpet;floor;home;1.1408686923505045;33;0.8033596277236938;0.7480376958847046;0.8250119686126709;0.8177763819694519
19;72;table;dining table;home;0.345117314944953;31;0.6609019637107849;0.6591907739639282;0.7183955311775208;0.6699603199958801
20;83;table;desk;home;0.916118213778296;25;0.6478644609451294;0.7014263272285461;0.7446531653404236;0.802174985408783
21;114;woman;girl;people;0.9405662399881732;24;0.7300245761871338;0.7526254057884216;0.6706034541130066;0.6931043863296509
22;115;couch;sofa;home;1.033173729946932;31;0.7292916774749756;0.7099649906158447;0.7423853278160095;0.73650062084198
23;118;chair;seat;home;0.1959092708736049;33;0.6697107553482056;0.5294068455696106;0.7760010361671448;0.723753809928894
24;122;counter;table;home;1.949488351718548;33;0.7397069931030273;0.760004460811615;0.8336459398269653;0.8129466772079468
25;154;counter;table;home;1.2496392378801418;33;0.6599274277687073;0.7413250207901001;0.775672972202301;0.7930799126625061
26;155;man;person;people;0.6395563653739033;25;0.5962260365486145;0.4826695919036865;0.6652072668075562;0.6444223523139954
27;156;man;person;people;1.306170651709187;23;0.7179071307182312;0.5883923172950745;0.6982156038284302;0.6850035786628723
28;160;dress;uniform;clothing;0.3372900666170139;32;0.7062838077545166;0.58097243309021;0.6874098777770996;0.644123375415802
29;172;restaurant;building;buildings;2.028732637466053;29;0.6678378582000732;0.6732696890830994;0.6831278204917908;0.6893178820610046
30;184;couch;sofa;home;0.9886994082884974;32;0.820848286151886;0.8173794150352478;0.8846541047096252;0.8869864344596863
31;198;house;cabin;buildings;0.9517626756348312;35;0.7185530066490173;0.5981644988059998;0.7652013897895813;0.7110363245010376
32;199;food;salad;food;0.8865408928220899;23;0.6790121793746948;0.7084450125694275;0.7702537775039673;0.7878228425979614
33;213;house;garage;buildings;1.7603362767133937;32;0.5473766922950745;0.6598297357559204;0.6849074363708496;0.7149046063423157
34;221;house;building;buildings;0.3159971329784246;35;0.7031278610229492;0.6140332221984863;0.7839578986167908;0.7324132919311523
35;228;couch;sofa;home;0.9932338197397066;31;0.7904227375984192;0.7831265926361084;0.8377765417098999;0.8375216722488403
36;231;house;building;buildings;1.1660870601063933;34;0.7602304816246033;0.7367768883705139;0.8016571998596191;0.8076456189155579
37;232;chair;sofa;home;1.5619544490992996;34;0.6485424637794495;0.7463704943656921;0.7426429986953735;0.7791417837142944
38;235;shirt;blouse;clothing;1.2870540281187268;28;0.6514462232589722;0.684583306312561;0.6737768650054932;0.6998382210731506
39;258;desk;table;home;0.7871265862012689;34;0.7875400185585022;0.6414479613304138;0.8372343182563782;0.73321133852005
40;260;man;person;people;0.8059584928680417;28;0.4075068533420563;0.31026846170425415;0.697775058740475;0.6907948157030736
41;263;house;home;buildings;0.4903415031415079;36;0.6765604019165039;0.7092787027359009;0.7676488757133484;0.7655829191207886
42;278;rug;carpet;home;0.8112781244591328;32;0.6642371416091919;0.6949551105499268;0.7740136981010437;0.7597817778587341
43;291;house;home;buildings;0.8090910778519506;35;0.6170097589492798;0.6691591143608093;0.6576207876205444;0.6578555703163147
44;294;car;van;vehicles;1.5078612224162218;32;0.7461685538291931;0.7312179803848267;0.8209104537963867;0.8149178624153137
45;308;bridge;sidewalk;buildings;0.6051865766334203;27;0.5400730967521667;0.7170626521110535;0.7457283735275269;0.7957537770271301
46;311;house;building;buildings;0.4394969869215134;33;0.758072555065155;0.7064032554626465;0.7706356048583984;0.8225196599960327
47;315;van;car;vehicles;0.9182958340544892;33;0.6536325812339783;0.667873203754425;0.6808150410652161;0.6846149563789368
48;321;house;building;buildings;0.6180038597674269;34;0.730355441570282;0.7470704317092896;0.8339777588844299;0.8703951239585876
49;335;desk;table;home;0.625262405223423;32;0.8504738807678223;0.7310720086097717;0.8134925365447998;0.7230210304260254
50;354;booth;building;home;1.5413465898141232;30;0.7187023162841797;0.665414035320282;0.7874102592468262;0.792448103427887
51;373;desk;table;home;0.1959092708736049;33;0.837922990322113;0.677732527256012;0.8281295895576477;0.7147745490074158
52;375;table;desk;home;0.9828586897127056;26;0.7640778422355652;0.746071457862854;0.6640447378158569;0.7077292799949646
53;377;desk;table;home;0.4912373418243331;28;0.7352579236030579;0.5875277519226074;0.83650141954422;0.7279443144798279
54;380;desk;table;home;0.5127091420308771;35;0.7805006504058838;0.6432737112045288;0.8434876799583435;0.7336465716362
55;381;desk;table;home;0.8865703508911293;31;0.8073239922523499;0.7024267315864563;0.8126103281974792;0.6755452752113342
56;386;desk;table;home;0.975119064940866;27;0.7514667510986328;0.728288471698761;0.8608294129371643;0.7587711811065674
57;390;desk;table;home;0.7382848661434507;24;0.7595280408859253;0.6749972105026245;0.8748461604118347;0.8151535987854004
58;392;desk;table;home;0.7382848661434507;24;0.8133650422096252;0.7567658424377441;0.8462890982627869;0.7686100006103516
59;416;woman;person;people;0.985171746816915;30;0.758687436580658;0.6502469182014465;0.8029938340187073;0.754840612411499
60;418;man;person;people;0.8249802573478929;27;0.5035933256149292;0.46533069014549255;0.5923394560813904;0.558253288269043
61;467;house;building;buildings;0.9182958340544892;30;0.6324161291122437;0.7377389669418335;0.6990898847579956;0.715559720993042
62;473;man;person;people;0.6540471842463447;33;0.6367684006690979;0.5504366755485535;0.7110711932182312;0.6938203573226929
63;474;table;desk;home;0.3227569588973982;34;0.6297767758369446;0.6124891638755798;0.6797329783439636;0.686662495136261
64;479;house;building;buildings;0.7553754125614287;23;0.6154320240020752;0.655378520488739;0.7400680184364319;0.7711591720581055
65;498;cabinet;entertainment center;home;1.6635819199522095;24;0.5887881517410278;0.6988682746887207;0.697775058740475;0.6907948157030736
66;501;couch;sofa;home;0.9940302114769566;33;0.786037266254425;0.7907668948173523;0.7532398700714111;0.7554064393043518
67;505;counter;sink;home;1.6442188007201342;30;0.7109537720680237;0.6420385241508484;0.7369619607925415;0.7539754509925842
68;508;sink;counter;home;1.295461844238322;30;0.6097515821456909;0.6693485975265503;0.7712389826774597;0.7932097911834717
69;519;carpet;floor;home;1.2976262297806769;30;0.8029018640518188;0.7876005172729492;0.8225274085998535;0.7983797788619995
70;525;counter;countertop;home;1.8309595631140103;30;0.6178986430168152;0.6091451644897461;0.7194539308547974;0.7262340784072876
71;526;shelf;bookshelf;home;1.762105786537448;28;0.6379187107086182;0.7926556468009949;0.8159301280975342;0.7965611815452576
72;530;house;home;buildings;0.2055925081850829;31;0.648870587348938;0.7128206491470337;0.7396263480186462;0.7569606304168701
73;549;chair;seat;home;0.6685644431995963;32;0.6574109792709351;0.5019470453262329;0.8220480680465698;0.7172438502311707
74;550;rug;carpet;home;0.8112781244591328;32;0.7315948605537415;0.738628625869751;0.8147209882736206;0.7943952679634094
75;552;couch;sofa;home;0.6609623351442084;35;0.7398287653923035;0.7342143058776855;0.8137853741645813;0.8065671920776367
76;556;rug;carpet;home;0.634309554640566;25;0.6719483137130737;0.6943435668945312;0.8358039259910583;0.8182563185691833
77;557;rug;floor;home;1.2994705707972525;25;0.534428596496582;0.6104127168655396;0.7972617149353027;0.7673395872116089
78;559;rug;floor;home;1.07273728622321;26;0.7402773499488831;0.6852655410766602;0.819904625415802;0.8027022480964661
79;560;shelf;bookshelf;home;2.147957872887236;26;0.5595584511756897;0.7186106443405151;0.8291292190551758;0.8522542715072632
80;563;counter;countertop;home;0.73550858155384;29;0.8110451698303223;0.8105978965759277;0.8325624465942383;0.8359264731407166
81;567;chair;sofa;home;1.5426372291611503;33;0.6254093050956726;0.8048127293586731;0.8151813745498657;0.862181544303894
82;572;cabinet;cupboard;home;0.9591963191047148;28;0.5248799920082092;0.5246180891990662;0.7007333636283875;0.6987359523773193
83;574;desk;table;home;0.8849636363831528;33;0.7436925768852234;0.680900514125824;0.8376508355140686;0.7860236167907715
84;625;car;automobile;vehicles;0.2163969324512645;29;0.7020519971847534;0.7246825098991394;0.8193370699882507;0.8194150328636169
85;637;floor;carpet;home;1.2838868242312451;28;0.7278557419776917;0.7182586789131165;0.6938431262969971;0.6982802152633667
86;638;man;person;people;0.5916727785823275;21;0.6481239795684814;0.5574220418930054;0.7660371661186218;0.7532453536987305
87;644;airplane;plane;vehicles;1.2076197058875997;35;0.649543046951294;0.6208280324935913;0.7858131527900696;0.7648839950561523
88;652;man;person;people;0.9218339291539108;30;0.6619570255279541;0.556351900100708;0.645592451095581;0.6439738869667053
89;680;bird;seagull;animals_plants;0.708835673332196;31;0.5924957394599915;0.56913822889328;0.4919968247413635;0.4890006482601166
90;693;cow;animal;animals_plants;2.2864283109928243;25;0.6219673156738281;0.6796048283576965;0.6091670393943787;0.6393457651138306
91;705;boat;ship;vehicles;0.672294817075638;34;0.7649136185646057;0.7041869163513184;0.8103506565093994;0.7768763899803162
92;711;house;building;buildings;0.9672947789468944;33;0.6588014960289001;0.7047957181930542;0.7528229355812073;0.8010769486427307
93;716;building;house;buildings;0.4138168503036338;24;0.6288122534751892;0.49143660068511963;0.697775058740475;0.6907948157030736
94;762;house;building;buildings;0.672294817075638;34;0.5442349910736084;0.6728513240814209;0.678474485874176;0.7100958228111267
95;763;building;house;buildings;0.9709505944546688;30;0.7345063090324402;0.6339719295501709;0.764862060546875;0.7272329330444336
96;782;house;building;buildings;0.9709505944546688;30;0.6380371451377869;0.7263844013214111;0.7439072132110596;0.7256804704666138
97;810;boat;ship;vehicles;1.1503914187111115;35;0.5950731635093689;0.6340041160583496;0.7993412613868713;0.7132035493850708
98;881;woman;lady;people;0.3533593350214213;30;0.582294225692749;0.5846835970878601;0.78470379114151;0.7836068868637085
99;882;desk;table;home;0.7918583525674836;21;0.4676041305065155;0.451913446187973;0.650346040725708;0.5743001699447632
100;883;bridge;overpass;buildings;0.4394969869215134;33;0.6987763047218323;0.7024716138839722;0.5519148111343384;0.5682342052459717
101;884;box;cereal;home;1.0;30;0.664275586605072;0.5355574488639832;0.7720600366592407;0.8241475224494934
102;897;boy;man;people;2.2432750011217983;27;0.6362622380256653;0.6039590835571289;0.7801864147186279;0.7768735885620117
103;911;jacket;shirt;clothing;0.7167256591148785;29;0.5736324191093445;0.568306565284729;0.6790027022361755;0.6908349990844727
104;917;shirt;t-shirt;clothing;1.054026074762777;34;0.6483239531517029;0.6380462050437927;0.5954310894012451;0.5870964527130127
105;922;woman;girl;people;1.6200144696078678;30;0.6376058459281921;0.6705630421638489;0.7048920392990112;0.6947450041770935
106;930;man;person;people;0.3620512517339981;29;0.494337797164917;0.3836061954498291;0.6179243326187134;0.6135706901550293
107;936;counter;table;home;1.297428815813488;28;0.7020813226699829;0.7898160815238953;0.8295449018478394;0.858593761920929
108;958;cat;kitten;animals_plants;0.4586858162005403;31;0.7870901823043823;0.7863913774490356;0.544465184211731;0.6267614960670471
109;962;girl;woman;people;1.2699207259892868;29;0.6657239198684692;0.6601183414459229;0.7061741352081299;0.7226237058639526
