vg_object_id	response	domain	H	familiarity	N	link_mn	topname_Mandarin	topname_English	list
143313	{'狗': 19}	animals_plants	0.0	4.0722	1	http://object-naming-amore.upf.edu//2415243_143313_singleton_obj.png	['狗']	dog	list6
149494	{'女人': 16, '笑脸': 1, '游客': 1, '女性': 1, '女孩': 1, '女士': 2}	people	1.4594316186372973	3.9359318181818184	6	http://object-naming-amore.upf.edu//2414912_149494_singleton_obj.png	['女人']	woman	list1
149712	{'食物': 3, '面包': 16, '贝果': 1, '包': 1, '面包圈': 2}	food	1.44726249944121	3.1796826086956522	5	http://object-naming-amore.upf.edu//2414899_149712_seed_ambiguous.png	['面包']	bagel	list3
155993	{'皮卡车': 1, '车': 8, '皮卡': 2, '卡车': 4, '运输卡车': 1, '汽车': 2, '车斗': 2, '后备箱': 1, '车子': 1}	vehicles	2.7321588913645702	3.150211363636364	9	http://object-naming-amore.upf.edu//2414566_155993_singleton_obj.png	['车']	truck	list1
158916	{'床': 20, '猫': 2, '布': 1}	home	0.6784070909375673	3.762908695652174	3	http://object-naming-amore.upf.edu//2414151_158916_singleton_obj.png	['床']	bed	list3
160185	{'人': 7, '女人': 8, '女孩': 4, '女性': 2, '女士': 1, '美女': 1}	people	2.1908887189090462	4.372891304347826	6	http://object-naming-amore.upf.edu//2414086_160185_supercat_unique.png	['女人']	woman	list3
161243	{'人': 3, '女生': 1, '运动员': 5, '女人': 5, '网球': 1, '球员': 2, '网球运动员': 1, '女性': 2, '女孩': 1, '玩家': 1, '女网选手': 1}	people	3.1333807190554004	3.6279554347826086	11	http://object-naming-amore.upf.edu//2414026_161243_singleton_obj.png	['运动员', '女人']	woman	list3
162117	{'沙发': 21}	home	0.0	2.9581	1	http://object-naming-amore.upf.edu//2413985_162117_singleton_obj.png	['沙发']	couch	list1
166206	{'羊': 17, '山羊': 2, '绵羊': 1, '牛': 1, '马': 1}	animals_plants	1.2100285140347624	2.8356636363636367	5	http://object-naming-amore.upf.edu//2413787_166206_singleton_obj.png	['羊']	sheep	list1
167364	{'房': 2, '房子': 17, '建筑物': 1, '屋子': 1, '树': 1, '房屋': 1}	buildings	1.4154372473067618	3.6804391304347823	6	http://object-naming-amore.upf.edu//2413733_167364_singleton_obj.png	['房子']	house	list3
170036	{'鸟': 17, '乌鸦': 2}	animals_plants	0.4854607607459134	3.2264684210526315	2	http://object-naming-amore.upf.edu//2413604_170036_supercat_unique.png	['鸟']	bird	list7
172725	{'男孩': 5, '小孩': 8, '孩子': 2, '儿童': 1, '人': 1, '男生': 1, '小朋友': 1}	people	2.2684727516311223	3.700336842105263	7	http://object-naming-amore.upf.edu//2413482_172725_singleton_obj.png	['小孩']	boy	list7
173435	{'摄影师': 1, '照相机': 4, '后视镜': 1, '女孩': 2, '摄像机': 1, '照片点击': 1}	people	2.321928094887362	2.803248	6	http://object-naming-amore.upf.edu//2413444_173435_singleton_obj.png	['照相机']	person	list1
175188	{'车库': 18, '仓库': 1, '建筑': 1, '储物室': 1, '放': 1}	buildings	1.0476747992754052	2.841467045454545	5	http://object-naming-amore.upf.edu//2413350_175188_singleton_obj.png	['车库']	garage	list2
175494	{'饮料': 5, '酒': 1, '啤酒': 4, '汽水': 1, '易拉罐': 4, '咖啡': 1, '啤酒罐': 1, '罐头': 1, '罐': 1, '瓶子': 1}	home	2.941446071165522	2.746657222222222	10	http://object-naming-amore.upf.edu//2413337_175494_singleton_obj.png	['饮料']	can	list5
177212	{'男孩': 4, '孩子': 2, '小孩': 1, '打棒球': 1, '人': 4, '恤': 2, '运动员': 2, '棒球选手': 2, '手套': 1, '男生': 1, '蝙蝠': 1, '棒球击球手': 1}	people	3.3685225277282065	3.724497474747475	12	http://object-naming-amore.upf.edu//2413244_177212_singleton_obj.png	['男孩', '人']	boy	list2
